Series_Complete_18PlusPop_Pct,SVI_CTGY,per_gop,life_expectancy,per_foodinsecurity,med_household_income,per_rural,per_65andover,per_18andyounger,per_broadband,per_BIPOC,per_uninsured,primarycarephysicians_ratio,per_flushotvaccine,per_somecollege,per_unemployed,per_poverty
0.376,D,0.7183958151700087,71.5,0.22,34280,0.493,0.17600000000000002,0.255,0.73,0.264,0.13,3254,0.3,0.42,0.05,0.26899999999999996
0.491,B,0.620452786377709,76.9,0.14,43044,0.379,0.151,0.179,0.75,0.037,0.13,1102,0.53,0.66,0.039,0.192
0.828,A,0.3933055612972297,80.8,0.08,89696,0.069,0.16899999999999998,0.194,0.9,0.025,0.07,1189,0.52,0.78,0.025,0.07200000000000001
0.502,C,0.7734052111410602,78.5,0.14,50754,0.318,0.199,0.236,0.78,0.025,0.12,1741,0.32,0.61,0.031,0.134
0.66,A,0.6621957602721801,80.4,0.1,72915,0.73,0.181,0.235,0.84,0.01399999999999999,0.07,3270,0.54,0.76,0.033,0.053
0.469,C,0.789904229848364,75.3,0.17,38978,1,0.194,0.234,0.75,0.02,0.07,5015,0.41,0.48,0.048,0.226
0.737,A,0.6851345390383767,80.1,0.08,61379,0.52,0.207,0.245,0.79,0.015,0.05,1120,0.63,0.72,0.019,0.08199999999999999
0.517,C,0.6602442333785618,81,0.12,68066,0.466,0.13699999999999998,0.27,0.82,0.059,0.07,1897,0.29,0.55,0.039,0.093
0.522,A,0.7619982158786798,80.9,0.12,59494,0.442,0.244,0.204,0.86,0.017,0.13,815,0.48,0.73,0.04,0.103
0.7859999999999999,A,0.368843345810325,80.7,0.1,62468,0.687,0.213,0.16,0.83,0.016,0.08,483,0.42,0.71,0.022,0.092
0.732,B,0.3635898944266284,81.3,0.09,82364,0.016,0.135,0.233,0.9,0.121,0.09,1240,0.53,0.72,0.027,0.07200000000000001
0.522,B,0.7295685724307261,78.9,0.1,59242,0.439,0.185,0.24,0.81,0.022,0.05,1571,0.59,0.67,0.025,0.108
0.44,C,0.7520585544373285,78.9,0.12,53532,0.537,0.159,0.314,0.71,0.008,0.12,2545,0.48,0.52,0.027,0.126
